Delay (ps),Setting
0,0
25,3
50,6
75,9
100,12
125,15
150,18
175,21
200,23
225,26
250,29
275,32
300,35
325,38
350,41
375,43
400,46
425,49
450,52
475,55
500,57
525,60
550,63
575,66
600,68
625,71
650,74
675,76
700,79
725,82
750,84
775,87
800,90
825,92
850,95
875,98
900,100
925,103
950,106
975,108
1000,111
1025,114
1050,116
1075,119
1100,122
1125,124
1150,127
1175,129
1200,132
1225,135
1250,137
1275,140
1300,142
1325,145
1350,148
1375,150
1400,153
1425,155
1450,158
1475,161
1500,163
1525,166
1550,168
1575,171
1600,174
1625,176
1650,179
1675,182
1700,184
1725,187
1750,189
1775,192
1800,195
1825,197
1850,200
1875,203
1900,205
1925,208
1950,211
1975,213
2000,216
2025,219
2050,221
2075,224
2100,227
2125,230
2150,232
2175,235
2200,238
2225,240
2250,243
2275,246
2300,249
2325,251
2350,254
2375,257
2400,260
2425,262
2450,265
2475,268
2500,270
2525,273
2550,276
2575,279
2600,281
2625,284
2650,287
2675,289
2700,292
2725,295
2750,298
2775,300
2800,303
2825,306
2850,308
2875,311
2900,314
2925,316
2950,319
2975,321
3000,324
3025,327
3050,329
3075,332
3100,334
3125,337
3150,339
3175,342
3200,344
3225,347
3250,350
3275,352
3300,355
3325,357
3350,360
3375,362
3400,365
3425,367
3450,370
3475,372
3500,375
3525,377
3550,380
3575,382
3600,385
3625,387
3650,389
3675,392
3700,394
3725,397
3750,400
3775,402
3800,405
3825,407
3850,410
3875,412
3900,415
3925,417
3950,420
3975,422
4000,425
4025,428
4050,430
4075,433
4100,435
4125,438
4150,441
4175,443
4200,446
4225,449
4250,451
4275,454
4300,457
4325,459
4350,462
4375,465
4400,467
4425,470
4450,473
4475,476
4500,478
4525,481
4550,484
4575,486
4600,489
4625,492
4650,495
4675,497
4700,500
4725,503
4750,505
4775,508
4800,511
4825,513
4850,516
4875,519
4900,521
4925,524
4950,527
4975,529
5000,532
5025,535
5050,537
5075,540
5100,542
5125,545
5150,548
5175,550
5200,553
5225,555
5250,558
5275,561
5300,563
5325,566
5350,568
5375,571
5400,573
5425,576
5450,579
5475,581
5500,584
5525,586
5550,589
5575,591
5600,594
5625,597
5650,599
5675,602
5700,604
5725,607
5750,610
5775,612
5800,615
5825,617
5850,620
5875,623
5900,625
5925,628
5950,631
5975,633
6000,636
6025,639
6050,641
6075,644
6100,647
6125,650
6150,652
6175,655
6200,658
6225,661
6250,663
6275,666
6300,669
6325,672
6350,675
6375,677
6400,680
6425,683
6450,686
6475,689
6500,691
6525,694
6550,697
6575,700
6600,703
6625,705
6650,708
6675,711
6700,714
6725,717
6750,719
6775,722
6800,725
6825,728
6850,731
6875,733
6900,736
6925,739
6950,742
6975,744
7000,747
7025,750
7050,752
7075,755
7100,758
7125,761
7150,763
7175,766
7200,769
7225,771
7250,774
7275,776
7300,779
7325,782
7350,784
7375,787
7400,790
7425,792
7450,795
7475,797
7500,800
7525,803
7550,805
7575,808
7600,810
7625,813
7650,816
7675,818
7700,821
7725,823
7750,826
7775,829
7800,831
7825,834
7850,836
7875,839
7900,842
7925,844
7950,847
7975,849
8000,852
8025,855
8050,857
8075,860
8100,863
8125,865
8150,868
8175,870
8200,873
8225,876
8250,878
8275,881
8300,884
8325,886
8350,889
8375,892
8400,894
8425,897
8450,900
8475,902
8500,905
8525,908
8550,910
8575,913
8600,916
8625,918
8650,921
8675,924
8700,927
8725,929
8750,932
8775,935
8800,937
8825,940
8850,943
8875,945
8900,948
8925,951
8950,954
8975,956
